Source,Edge Label,Destination
S,FIRS,SNT1
S,INF3,V0
S,,V0
V0,VOICE,V1
SNT1,LEX,SNT2
SNT2,SECS,T
V1,FORM,V2
V2,MODAL,V3
V2,,V3
V3,TENSE,V4
V4,MOOD,T
COND,CNDIT,INDIC
INTERROG,IVT,INDIC
INDIC,VS1,SBJ
INDIC,,SBJ
SBJ,SUBJ,PRED
SBJ,GSBJ,PRED
SBJ,,PRED
PRED,MAN,PRED1
PRED,,PRED1
PRED1,NGT,VP0
PRED1,,VP0
VP0,VS,VP1
VP1,PART1,VP2
VP1,,VP2
VP2,OBJ2,VP3
VP2,,VP3
VP3,PP1,VP4
VP3,,VP4
VP4,P_ADJ,VP5
VP4,,VP5
VP5,LOC,VP6
VP5,,VP6
VP6,OBJ,VP7
VP6,,VP7
VP7,PART2,VP8
VP7,,VP8
VP8,IOBJ,VP9
VP8,,VP9
VP9,INF,VP10
VP9,INF2,VP10
VP9,S2,VP10
VP9,S3,VP10
VP9,SPRG,VP10
VP9,PRSNT,VP10
VP9,GOBJ,VP10
VP9,,VP10
VP10,INST,T
VP10,INST2,T
PNP,PREP,PNP1
PNP1,POBJ,T
NP,PRON,NP3
NP,POSS,NP1
NP,DET,NP1
NP,,NP1
NP1,QUANT,NP2
NP1,,NP2
NP2,NBR,NP3
NP3,NS,NP4
NP4,PP1,NP5
NP4,,NP5
NP5,INF2,T
NP5,,T
POSS,PRON,NP3
POSS,DET,NP1
POSS,,NP1
MOD,DEG,MOD1
MOD1,MS,T
